institution,institution_type,province,city,url,clean_url,,
Cégep de Rimouski,Cégep,QC,Rimouski,http://cegep-rimouski.qc.ca/,cegep-rimouski.qc.ca,,
Cégep de Rivière-du-Loup,Cégep,QC,Rivière-du-Loup,http://cegep-rdl.qc.ca/,cegep-rdl.qc.ca,,
Cégep de Sainte-Foy,Cégep,QC,Sainte-Foy-Sillery-Cap-Rouge,http://cegep-ste-foy.qc.ca/,cegep-ste-foy.qc.ca,,
Cégep Garneau,Cégep,QC,Québec City,http://cegepgarneau.ca/,cegepgarneau.ca,,
Cégep Limoilou,Cégep,QC,Québec City,http://cegeplimoilou.ca/,cegeplimoilou.ca,,
Champlain College – St. Lawrence,Cégep,QC,Québec City,http://www.slc.qc.ca/,slc.qc.ca,,
Cégep Beauce-Appalaches,Cégep,QC,Saint-Georges,http://cegepba.qc.ca/,cegepba.qc.ca,,
Cégep de Lévis-Lauzon,Cégep,QC,Lévis ,http://cll.qc.ca/,cll.qc.ca,,
Cégep de Thetford,Cégep,QC,Thetford Mines,http://cegepthetford.ca/,cegepthetford.ca,,
Cégep de Sept-Îles,Cégep,QC,Sept-Îles,http://cegep-sept-iles.qc.ca/,cegep-sept-iles.qc.ca,,
Cégep de Baie-Comeau,Cégep,QC,Baie-Comeau,http://cegep-baie-comeau.qc.ca/,cegep-baie-comeau.qc.ca,,
Cégep de Sherbrooke,Cégep,QC,Sherbrooke,http://cegepsherbrooke.qc.ca/,cegepsherbrooke.qc.ca,,
Champlain College – Lennoxville,Cégep,QC,Sherbrooke,http://crc-lennox.qc.ca/,crc-lennox.qc.ca,,
Cégep de Saint-Jérôme,Cégep,QC,Saint-Jérôme,http://cstj.qc.ca/,cstj.qc.ca,,
Cégep régional de Lanaudière,Cégep,QC,Repentigny,http://cegep-lanaudiere.qc.ca/,cegep-lanaudiere.qc.ca,,
Collège Lionel-Groulx,Cégep,QC,Sainte-Thérèse,http://clg.qc.ca/,clg.qc.ca,,
Collège Montmorency,Cégep,QC,Laval ,http://cmontmorency.qc.ca/,cmontmorency.qc.ca,,
Cégep de Drummondville,Cégep,QC,Drummondville,http://www.cegepdrummond.ca/,cegepdrummond.ca,,
Cégep de Trois-Rivières,Cégep,QC,Trois-Rivières,http://cegeptr.qc.ca/,cegeptr.qc.ca,,
Cégep de Victoriaville,Cégep,QC,Victoriaville ,http://cegepvicto.ca/,cegepvicto.ca,,
Collège Shawinigan,Cégep,QC,shawinigan ,http://www.collegeshawinigan.ca/,collegeshawinigan.ca,,
Cégep de Granby,Cégep,QC,Granby,http://cegepgranby.qc.ca/,cegepgranby.qc.ca,,
Champlain College Saint-Lambert,Cégep,QC,Saint-Lambert,http://www.champlainonline.com/,champlainonline.com,,
Cégep de Saint-Hyacinthe,Cégep,QC,Saint-Hyacinthe,http://cegepsth.qc.ca/,cegepsth.qc.ca,,
Cégep de Sorel-Tracy,Cégep,QC,Sorel-Tracy,http://cegepst.qc.ca/,cegepst.qc.ca,,
Cégep Édouard-Montpetit,Cégep,QC,Longueuil,http://cegepmontpetit.ca/,cegepmontpetit.ca,,
Cégep Saint-Jean-sur-Richelieu,Cégep,QC,Saint-Jean-sur-Richelieu ,http://www.cstjean.qc.ca/,cstjean.qc.ca,,
Collège de Valleyfield,Cégep,QC,Salaberry-de-Valleyfield,https://www.colval.qc.ca/,colval.qc.ca,,
Cégep à distance,Cégep,QC,Montréal,http://cegepadistance.ca/,cegepadistance.ca,,
Cégep André-Laurendeau,Cégep,QC,Montréal,http://claurendeau.qc.ca/,claurendeau.qc.ca,,
Cégep de Saint-Laurent,Cégep,QC,Montréal,http://cegepsl.qc.ca/,cegepsl.qc.ca,,
Cégep du Vieux Montréal,Cégep,QC,Montréal,http://cvm.qc.ca/,cvm.qc.ca,,
Cégep Gérald-Godin,Cégep,QC,Montréal,http://www.cgodin.qc.ca/,cgodin.qc.ca,,
Cégep Marie-Victorin,Cégep,QC,Montréal,http://www.collegemv.qc.ca/,collegemv.qc.ca,,
Collège Ahuntsic,Cégep,QC,Montréal,http://collegeahuntsic.qc.ca/,collegeahuntsic.qc.ca,,
Collège de Maisonneuve,Cégep,QC,Montréal,http://cmaisonneuve.qc.ca/,cmaisonneuve.qc.ca,,
Collège de Bois-de-Boulogne,Cégep,QC,Montréal,http://bdeb.qc.ca/,bdeb.qc.ca,,
Collège de Rosemont,Cégep,QC,Montréal,http://crosemont.qc.ca/,crosemont.qc.ca,,
Dawson College,Cégep,QC,Montréal,http://dawsoncollege.qc.ca/,dawsoncollege.qc.ca,,
John Abbott College,Cégep,QC,Montréal,http://www.johnabbott.qc.ca/,johnabbott.qc.ca,,
Vanier College,Cégep,QC,Montréal,http://vaniercollege.qc.ca/,vaniercollege.qc.ca,,
Cégep Abitibi-Témiscamingue,Cégep,QC,Rouyn-Noranda,http://cegepat.qc.ca/,cegepat.qc.ca,,
Cégep de l’Outaouais,Cégep,QC,Gatineau,http://cegepoutaouais.qc.ca/,cegepoutaouais.qc.ca,,
Heritage College,Cégep,QC,Gatineau,http://cegep-heritage.qc.ca/,cegep-heritage.qc.ca,,
Cégep d’Alma,Cégep,QC,Alma,http://calma.qc.ca/,calma.qc.ca,,
Cégep de Chicoutimi,Cégep,QC,Chicoutimi,http://cegep-chicoutimi.qc.ca/,cegep-chicoutimi.qc.ca,,
Cégep de Jonquière,Cégep,QC,Jonquière,http://cegepjonquiere.ca/,cegepjonquiere.ca,,
Cégep de Saint-Félicien,Cégep,QC,Saint-Félicien,http://cegepstfe.ca/,cegepstfe.ca,,
Maritime College of Forest Technology,polytechnic,NB,Fredericton,https://www.mcft.ca/,mcft.ca,,
New Brunswick College of Craft and Design,college,NB,Fredericton,http://nbccd.ca/,nbccd.ca,,
Collège communautaire du Nouveau-Brunswick,college,NB,Bathurst,http://ccnb.nb.ca/english.aspx,ccnb.nb.ca,,
New Brunswick Community College,college,NB,Fredericton,http://www.nbcc.ca/en/home/default.aspx,nbcc.ca,,
University of New Brunswick,university,NB,Fredericton,https://www.unb.ca/,unb.ca,,
Université de Moncton,university,NB,Moncton,https://www.umoncton.ca/,umoncton.ca,,
Mount Allison University,university,NB,Sackville,https://www.mta.ca/Prospective/Default.aspx,mta.ca,,
St. Thomas University,university,NB,Fredericton,https://www.stu.ca/,stu.ca,,
Acadia University,university,NS,Wolfville,http://www.acadiau.ca/,acadiau.ca,,
Atlantic School of Theology,university,NS,Halifax,http://www.astheology.ns.ca/,astheology.ns.ca,,
Cape Breton University,university,NS,Sydney,http://www.cbu.ca/,cbu.ca,,
Dalhousie University,university - U15,NS,Halifax,http://www.dal.ca/,dal.ca,,
Mount Saint Vincent University,university,NS,Halifax,http://www.msvu.ca/,msvu.ca,,
Nova Scotia Community College,college,NS,Halifax,http://www.nscc.ca/,nscc.ca,,
NSCAD University,university,NS,Halifax,http://www.nscad.ca/,nscad.ca,,
Saint Mary’s University,university,NS,Halifax,http://www.smu.ca/,smu.ca,,
St Francis Xavier University,university,NS,Antigonish,http://www.stfx.ca/,stfx.ca,,
Université Sainte-Anne,university,NS,Pointe-de-l'Église,http://www.usainteanne.ca/,usainteanne.ca,,
University of King’s College,university,NS,Halifax,http://www.ukings.ca/,ukings.ca,,
University of Prince Edward Island,university,PEI,Charlottetown,https://www.upei.ca/,upei.ca,,
Holland College,college,PEI,Charlottetown,https://www.hollandcollege.com/,hollandcollege.com,,
Collège Acadie Î.-P.-É.,college,PEI,Wellington,https://www.collegedelile.ca/fr/,collegedelile.ca,,
Maritime Christian College,college,PEI,Charlottetown,http://mccpei.com/,mccpei.com,,
Memorial University,university,NL,St John's,https://www.mun.ca/,mun.ca,,
College of the North Atlantic,college,NL,Multiple,https://www.cna.nl.ca/,cna.nl.ca,,
Yukon University,university,YK,Whitehorse,https://www.yukonu.ca/,yukonu.ca,,
Aurora College,college,NWT,Yellowknife,https://www.auroracollege.nt.ca/,auroracollege.nt.ca,,
Nunavut Arctic College,college,NVT,Iqaluit,https://arcticcollege.ca/,arcticcollege.ca,,
