school_name,url,city,state,full_domain
University of the Ozarks,https://ozarks.edu,Clarksville,AR,ozarks.edu
Phillips Community College U of A,https://pccua.edu,Helena-West Helena,AR,pccua.edu
Pulaski Technical College,https://pulaskitech.edu,North Little Rock,AR,pulaskitech.edu
Southern Arkansas University Magnolia,https://saumag.edu,Magnolia,AR,saumag.edu
Southeast Arkansas College,https://seark.edu,Pine Bluff,AR,seark.edu
University of Arkansas Community College Batesville,https://uaccb.edu,Batesville,AR,uaccb.edu
University of Arkansas at Little Rock,https://ualr.edu,Little Rock,AR,ualr.edu
University of Arkansas for Medical Sciences,https://uams.edu,Little Rock,AR,uams.edu
University of Arkansas at Pine Bluff,https://uapb.edu,Pine Bluff,AR,uapb.edu
University of Arkansas,https://uark.edu,Fayetteville,AR,uark.edu
University of Central Arkansas,https://uca.edu,Conway,AR,uca.edu
Williams Baptist College,https://wbcoll.edu,Walnut Ridge,AR,wbcoll.edu
University of Arizona,https://arizona.edu,Tucson,AZ,arizona.edu
Arizona State University,https://asu.edu,Tempe,AZ,asu.edu
Arizona Western College,https://azwestern.edu,Yuma,AZ,azwestern.edu
Bryan University,https://bryanuniversity.edu,Tempe,AZ,bryanuniversity.edu
Central Arizona College,https://centralaz.edu,Coolidge,AZ,centralaz.edu
Glendale Community College,https://gccaz.edu,Glendale,AZ,gccaz.edu
Grand Canyon University,https://gcu.edu,Phoenix,AZ,gcu.edu
Maricopa Community Colleges,https://maricopa.edu,Phoenix,AZ,maricopa.edu
Mesa Community College,https://mesacc.edu,Mesa,AZ,mesacc.edu
Northern Arizona University,https://nau.edu,Flagstaff,AZ,nau.edu
Northland Pioneer College,https://npc.edu,(multiple locations),AZ,npc.edu
University of Phoenix,https://phoenix.edu,Tempe,AZ,phoenix.edu
Phoenix College,https://phoenixcollege.edu,Phoenix,AZ,phoenixcollege.edu
Pima Community College,https://pima.edu,Tucson,AZ,pima.edu
Prescott College,https://prescott.edu,Prescott,AZ,prescott.edu
Rio Salado College,https://riosalado.edu,Tempe,AZ,riosalado.edu
South Mountain Community College,https://southmountaincc.edu,Pheonix,AZ,southmountaincc.edu
University of Advancing Technology,https://uat.edu,Tempe,AZ,uat.edu
Yavapai College,https://yc.edu,Prescott,AZ,yc.edu
Academy of Arts University,https://academyart.edu,San Francisco,CA,academyart.edu
Adance Computing Institute,https://advancedcomputinginstitute.edu,Los Angeles,CA,advancedcomputinginstitute.edu
Acupuncture & Integrative Medicine College,https://aimc.edu,Berkeley,CA,aimc.edu
Alliant International University,https://alliant.edu,Alhambra,CA,alliant.edu
Allied American University,https://allied.edu,Laguna Hills,CA,allied.edu
Anaheim University,https://anaheim.edu,Anaheim,CA,anaheim.edu
Angeles College,https://angelescollege.edu,Los Angeles,CA,angelescollege.edu
Antioch University Los Angeles,https://antiochla.edu,Culver City,CA,antiochla.edu
Argosy University,https://argosy.edu,(multiple locations),CA,argosy.edu
Art Center College of Design,https://artcenter.edu,Pasadena,CA,artcenter.edu
The Art Institute,https://artinstitutes.edu,(multiple locations),CA,artinstitutes.edu
Ashford University,https://ashford.edu,San Diego,CA,ashford.edu
ATI College,https://ati.edu,Norwalk,CA,ati.edu
Antelope Valley College,https://avc.edu,Lancaster,CA,avc.edu
Bakersfield College,https://bakersfieldcollege.edu,Bakersfield,CA,bakersfieldcollege.edu
Barstow Community College,https://barstow.edu,Barstow,CA,barstow.edu
Berkeley University of California,https://berkeley.edu,Berkeley,CA,berkeley.edu
Berkeley City College,https://berkeleycitycollege.edu,Berkeley,CA,berkeleycitycollege.edu
Brandman University,https://brandman.edu,Irvine,CA,brandman.edu
Butte College,https://butte.edu,Oroville,CA,butte.edu
Cabrillo College,https://cabrillo.edu,Aptos,CA,cabrillo.edu
California Institute of the Arts,https://calarts.edu,Valencie,CA,calarts.edu
California Baptist University,https://calbaptist.edu,Riverside,CA,calbaptist.edu
California Lutheran University,https://callutheran.edu,Thousand Oaks,CA,callutheran.edu
California Miramar University,https://calmu.edu,San Diego,CA,calmu.edu
California Polytechnic State University,https://calpoly.edu,San Luis Obispo,CA,calpoly.edu
California State University,https://calstate.edu,Long Beach,CA,calstate.edu
California Institute of Technology,https://caltech.edu,Pasadena,CA,caltech.edu
Canada College,https://canadacollege.edu,Redwood City,CA,canadacollege.edu
College of the Canyons,https://canyons.edu,Santa Clarita,CA,canyons.edu
California College of the Arts,https://cca.edu,San Francisco,CA,cca.edu
California Community Colleges Chanellor's Office,https://cccco.edu,Sacramento,CA,cccco.edu
City College of San Francisco,https://ccsf.edu,San Francisco,CA,ccsf.edu
Cerritos College,https://cerritos.edu,Norwalk,CA,cerritos.edu
Cerro Coso Community College,https://cerrocoso.edu,Ridgecrest,CA,cerrocoso.edu
Claremont Graduate University,https://cgu.edu,Claremont,CA,cgu.edu
Chaffey College,https://chaffey.edu,Rancho Cucamonga,CA,chaffey.edu
Chapman University,https://chapman.edu,Orange,CA,chapman.edu
California Institute of Integral Studies,https://ciis.edu,San Francisco,CA,ciis.edu
Citrus College,https://citruscollege.edu,Glendora,CA,citruscollege.edu
The Claremont Colleges,https://claremont.edu,Claremont,CA,claremont.edu
Claremont McKenna College,https://cmc.edu,Claremont,CA,cmc.edu
Copper Mountain College,https://cmccd.edu,(multiple locations),CA,cmccd.edu
Cogswell Polytechnical College,https://cogswell.edu,Sunnyvale,CA,cogswell.edu
College of San Mateo,https://collegeofsanmateo.edu,San Mateo,CA,collegeofsanmateo.edu
College of the Desert,https://collegeofthedesert.edu,Palm Desert,CA,collegeofthedesert.edu
El Camino College Compton Center,https://compton.edu,Compton,CA,compton.edu
Contra Costa College,https://contracosta.edu,San Pablo,CA,contracosta.edu
College of the Sequoias,https://cos.edu,Visalia,CA,cos.edu
Crafton Hills College,https://craftonhills.edu,Yucaipa,CA,craftonhills.edu
California State University Bakersfield,https://csub.edu,Bakersfield,CA,csub.edu
California State University Channel Islands,https://csuci.edu,Camarillo,CA,csuci.edu
California State University Dominguez Hills,https://csudh.edu,Carson,CA,csudh.edu
California State University East Bay,https://csueastbay.edu,Hayward,CA,csueastbay.edu
Fresno State,https://fresnostate.edu,Fresno,CA,fresnostate.edu
California State University Long Beach,https://csulb.edu,Long Beach,CA,csulb.edu
California State University Monterey Bay,https://csumb.edu,Seaside,CA,csumb.edu
California State University Northridge,https://csun.edu,Northridge,CA,csun.edu
California State Polytechnic University Pomona,https://csupomona.edu,Pomona,CA,csupomona.edu
California State University Sacramento,https://csus.edu,Sacramento,CA,csus.edu
California State University San Bernardino,https://csusb.edu,San Bernardino,CA,csusb.edu
California State University San Marcos,https://csusm.edu,San Marcos,CA,csusm.edu
California State University Stanislaus,https://csustan.edu,Stanislaus,CA,csustan.edu
Cuesta College,https://cuesta.edu,San Luis Obispo,CA,cuesta.edu
Cuyamaca College,https://cuyamaca.edu,El Cajon,CA,cuyamaca.edu
California Western School of Law San Diego,https://cwsl.edu,San Diego,CA,cwsl.edu
Cypress College,https://cypresscollege.edu,Cypress,CA,cypresscollege.edu
DeAnza College,https://deanza.edu,Cupertino,CA,deanza.edu
San Joaquin Delta College,https://deltacollege.edu,Stockton,CA,deltacollege.edu
Dominican University of California,https://dominican.edu,San Rafael,CA,dominican.edu
Dominican School of Philosophy and Theology,https://dspt.edu,Berkeley,CA,dspt.edu
Diablo Valley College,https://dvc.edu,Pleasant Hill,CA,dvc.edu
East Los Angeles College,https://elac.edu,Monterey Park,CA,elac.edu
El Camino College,https://elcamino.edu,Torrance,CA,elcamino.edu
Ex'pression College,https://expression.edu,San Jose,CA,expression.edu
Foothill-De Anza Community College District,https://fhda.edu,Los Altos Hills,CA,fhda.edu
Fashion Institute of Design & Merchandising,https://fidm.edu,San Francisco,CA,fidm.edu
Fielding Graduate University,https://fielding.edu,Santa Barbara,CA,fielding.edu
Foothill College,https://foothill.edu,Los Altos Hills,CA,foothill.edu
Fresno Pacific University,https://fresno.edu,Fresno,CA,fresno.edu
Fresno City College,https://fresnocitycollege.edu,Fresno,CA,fresnocitycollege.edu
Frederick Taylor University,https://ftu.edu,Moraga,CA,ftu.edu
Fullerton College,https://fullcoll.edu,Fullerton,CA,fullcoll.edu
Fuller Theological Seminary,https://fuller.edu,Pasadena,CA,fuller.edu
California State University Fullerton,https://fullerton.edu,Fullerton,CA,fullerton.edu
Gavilan College,https://gavilan.edu,Gilroy,CA,gavilan.edu
Golden Gate Baptist Theological Seminary,https://ggbts.edu,Mill Valley,CA,ggbts.edu
Glendale Community College,https://glendale.edu,Glendale,CA,glendale.edu
Gnomon School of Visual Effects,https://gnomon.edu,Hollywood,CA,gnomon.edu
Columbia College,https://gocolumbia.edu,Sonora,CA,gocolumbia.edu
Golden West College,https://goldenwestcollege.edu,Huntington Beach,CA,goldenwestcollege.edu
Grossmont College,https://grossmont.edu,El Cajon,CA,grossmont.edu
Allan Hancock College,https://hancockcollege.edu,Santa Maria,CA,hancockcollege.edu
Hartnell College,https://hartnell.edu,Salinas,CA,hartnell.edu
Henley-Putnam University,https://henley-putnam.edu,Santa Clara,CA,henley-putnam.edu
Harvey Mudd College,https://hmc.edu,Claremont,CA,hmc.edu
Holy Names University,https://hnu.edu,Oakland,CA,hnu.edu
Humboldt State University,https://humboldt.edu,Arcata,CA,humboldt.edu
Humphreys College,https://humphreys.edu,Stockton,CA,humphreys.edu
Imperial Valley College,https://imperial.edu,Imperial,CA,imperial.edu
International Sports Sciences Association,https://issaonline.edu,Carpinteria,CA,issaonline.edu
International Technological University,https://itu.edu,San Jose,CA,itu.edu
Irvine Valley College,https://ivc.edu,Irvine,CA,ivc.edu
William Jessup University,https://jessup.edu,Rocklin,CA,jessup.edu
John F. Kennedy University,https://jfku.edu,Pleasant Hill,CA,jfku.edu
Keck Graduate Institute,https://kgi.edu,Claremont,CA,kgi.edu
Mount Saint Mary's College,https://la.edu,Los Angeles,CA,la.edu
Los Angeles Community College District,https://laccd.edu,Los Angeles,CA,laccd.edu
Los Angeles City College,https://lacitycollege.edu,Los Angeles,CA,lacitycollege.edu
Los Angeles Harbor College,https://lahc.edu,Wilmington,CA,lahc.edu
Los Angeles Mission College,https://lamission.edu,Sylmar,CA,lamission.edu
Laney College,https://laney.edu,Oakland,CA,laney.edu
Los Angeles Southwest College,https://lasc.edu,Los Angeles,CA,lasc.edu
La Sierra University,https://lasierra.edu,Riverside,CA,lasierra.edu
Las Positas College,https://laspositascollege.edu,Livermore,CA,laspositascollege.edu
Los Angeles Trade-Tech Community College,https://lattc.edu,Los Angeles,CA,lattc.edu
Laurus College,https://lauruscollege.edu,Santa Maria,CA,lauruscollege.edu
Los Angeles Valley College,https://lavc.edu,Valley Glen,CA,lavc.edu
University of La Verne,https://laverne.edu,La Verne,CA,laverne.edu
UCLA School of Law,https://ucla.edu,Los Angeles,CA,ucla.edu
Long Beach City College,https://lbcc.edu,Long Beach,CA,lbcc.edu
Life Chiropractic College West,https://lifewest.edu,Hayward,CA,lifewest.edu
Loma Linda University,https://llu.edu,Loma Linda,CA,llu.edu
Loyola Marymount University,https://lmu.edu,Los Angeles,CA,lmu.edu
Los Medanos College,https://losmedanos.edu,Pittsburg,CA,losmedanos.edu
Los Rios Community College District,https://losrios.edu,Sacramento,CA,losrios.edu
Lake Tahoe Community College,https://ltcc.edu,South Lake Tahoe,CA,ltcc.edu
College of Marin,https://marin.edu,Kentfield,CA,marin.edu
Marymount California University,https://marymountcalifornia.edu,Rancho Palos Verdes,CA,marymountcalifornia.edu
The Master's College,https://masters.edu,Santa Clarita,CA,masters.edu
Merced Community College,https://mccd.edu,Merced,CA,mccd.edu
Mills College,https://mills.edu,Oakland,CA,mills.edu
MiraCosta College,https://miracosta.edu,Oceanside,CA,miracosta.edu
Modesto Junior College,https://mjc.edu,Modesto,CA,mjc.edu
Mount San Jacinto College,https://msjc.edu,(multiple locations),CA,msjc.edu
Mount San Antonio College,https://mtsac.edu,Walnut,CA,mtsac.edu
Napa Valley College,https://napavalley.edu,Napa,CA,napavalley.edu
Notre Dame de Namur University,https://ndnu.edu,Belmont,CA,ndnu.edu
NewSchool of Architecture and Design,https://newschoolarch.edu,San Diego,CA,newschoolarch.edu
Norco College,https://norcocollege.edu,Norco,CA,norcocollege.edu
Naval Postgraduate School,https://nps.edu,Monterey,CA,nps.edu
Ohlone College,https://ohlone.edu,Fremont,CA,ohlone.edu
Orange Coast College,https://orangecoastcollege.edu,Costa Mesa,CA,orangecoastcollege.edu
Otis College of Art and Design,https://otis.edu,Los Angeles,CA,otis.edu
Occidental College,https://oxy.edu,Los Angeles,CA,oxy.edu
University of the Pacific,https://pacific.edu,Stockton,CA,pacific.edu
Pacific College of Oriental Medicine,https://pacificcollege.edu,San Diego,CA,pacificcollege.edu
Palomar College,https://palomar.edu,San Marcos,CA,palomar.edu
Pasadena City College,https://pasadena.edu,Pasadena,CA,pasadena.edu
Pepperdine University,https://pepperdine.edu,Malibu,CA,pepperdine.edu
Peralta Community College District,https://peralta.edu,Oakland,CA,peralta.edu
Pierce College,https://piercecollege.edu,Woodland Hills,CA,piercecollege.edu
Pitzer College,https://pitzer.edu,Claremont,CA,pitzer.edu
Pacific Lutheran Theological Seminary,https://plts.edu,Berkeley,CA,plts.edu
Point Loma Nazarene University,https://pointloma.edu,San Diego,CA,pointloma.edu
Pomona College,https://pomona.edu,Claremont,CA,pomona.edu
Porterville College,https://portervillecollege.edu,Porterville,CA,portervillecollege.edu
Pacific School of Religion,https://psr.edu,Berkeley,CA,psr.edu
Riverside City College,https://rcc.edu,Riverside,CA,rcc.edu
Riverside Community College District,https://rccd.edu,Riverside,CA,rccd.edu
University of Redlands,https://redlands.edu,Redlands,CA,redlands.edu
College of the Redwoods,https://redwoods.edu,Eureka,CA,redwoods.edu
Rio Hondo College,https://riohondo.edu,Whittier,CA,riohondo.edu
Rosemead College,https://rosemeadcollege.edu,Rosemead,CA,rosemeadcollege.edu
Santa Ana College,https://sac.edu,Santa Ana,CA,sac.edu
Saddleback College,https://saddleback.edu,Mission Viejo,CA,saddleback.edu
University of San Diego,https://sandiego.edu,San Diego,CA,sandiego.edu
Santa Rosa Junior College,https://santarosa.edu,Santa Rosa,CA,santarosa.edu
Santa Barbara City College,https://sbcc.edu,Santa Barbara,CA,sbcc.edu
School of Continuing Education,https://sce.edu,Anaheim,CA,sce.edu
Scripps College,https://scrippscollege.edu,Claremont,CA,scrippscollege.edu
Santa Clara University,https://scu.edu,Santa Clara,CA,scu.edu
Southern California University of Health Sciences,https://scuhs.edu,Whittier,CA,scuhs.edu
San Diego City College,https://sdcity.edu,San Diego,CA,sdcity.edu
San Diego Mesa College,https://sdmesa.edu,San Diego,CA,sdmesa.edu
San Diego State University,https://sdsu.edu,San Diego,CA,sdsu.edu
San Francisco State University,https://sfsu.edu,San Francisco,CA,sfsu.edu
Shasta College,https://shastacollege.edu,Redding,CA,shastacollege.edu
The Institute of Buddhist Studies,https://shin-ibs.edu,Berkeley,CA,shin-ibs.edu
Sierra College,https://sierracollege.edu,Rocklin,CA,sierracollege.edu
Simpson University,https://simpsonu.edu,Redding,CA,simpsonu.edu
College of the Siskiyous,https://siskiyous.edu,Weed,CA,siskiyous.edu
San Jose State University,https://sjsu.edu,San Jose,CA,sjsu.edu
Starr King School for the Ministry,https://sksm.edu,Berkeley,CA,sksm.edu
Skyline College,https://skylinecollege.edu,San Bruno,CA,skylinecollege.edu
Santa Monica College,https://smc.edu,Santa Monica,CA,smc.edu
San Mateo County Community College,https://smccd.edu,San Mateo,CA,smccd.edu
Soka University of America,https://soka.edu,Aliso Viejo,CA,soka.edu
Solano Community College,https://solano.edu,(multiple locations),CA,solano.edu
Sonoma State University,https://sonoma.edu,Rohnert Park,CA,sonoma.edu
Stanford University,https://stanford.edu,Stanford,CA,stanford.edu
Saint Mary's College,https://stmarys-ca.edu,Moraga,CA,stmarys-ca.edu
Taft College,https://taftcollege.edu,Taft,CA,taftcollege.edu
Touro University California,https://tu.edu,Vallejo,CA,tu.edu
University of California Davis,https://ucdavis.edu,Davis,CA,ucdavis.edu
University of California Hastings College of the Law,https://uchastings.edu,San Francisco,CA,uchastings.edu
University of California Irvine,https://uci.edu,Irvine,CA,uci.edu
University of California Los Angeles,https://ucla.edu,Los Angeles,CA,ucla.edu
University of California Los Angeles Extension,https://uclaextension.edu,Los Angeles,CA,uclaextension.edu
University of California Merced,https://ucmerced.edu,Merced,CA,ucmerced.edu
University of California,https://ucop.edu,Oakland,CA,ucop.edu
University of California Press,https://ucpress.edu,(multiple locations),CA,ucpress.edu
University of California Riverside,https://ucr.edu,Riverside,CA,ucr.edu
University of California Santa Barbara,https://ucsb.edu,Santa Barbara,CA,ucsb.edu
University of California Santa Cruz,https://ucsc.edu,Santa Cruz,CA,ucsc.edu
University of California Santa Cruz Silicon Valley Extension,https://ucsc-extension.edu,Santa Clara,CA,ucsc-extension.edu
University of California San Diego,https://ucsd.edu,La Jolla,CA,ucsd.edu
University of California San Francisco,https://ucsf.edu,San Francisco,CA,ucsf.edu
University of California,https://universityofcalifornia.edu,Berkeley,CA,universityofcalifornia.edu
University of the Pacific,https://uop.edu,Stockton,CA,uop.edu
University of Southern California,https://usc.edu,Los Angeles,CA,usc.edu
University of San Francisco,https://usfca.edu,San Francisco,CA,usfca.edu
San Bernardino Valley College,https://valleycollege.edu,San Bernardino,CA,valleycollege.edu
Ventura College,https://venturacollege.edu,Ventura,CA,venturacollege.edu
Victor Valley College,https://vvc.edu,Victorville,CA,vvc.edu
West Coast Baptist College,https://wcbc.edu,Lancaster,CA,wcbc.edu
Western University of Health Sciences,https://westernu.edu,Pamona,CA,westernu.edu
Westmont College,https://westmont.edu,Santa Barbara,CA,westmont.edu
West Valley College,https://westvalley.edu,Saratoga,CA,westvalley.edu
West Hills Community College District,https://whccd.edu,Coalinga,CA,whccd.edu
Whittier College,https://whittier.edu,Whittier,CA,whittier.edu
West Los Angeles College,https://wlac.edu,Culver City,CA,wlac.edu
Yuba Community College District,https://yccd.edu,Marysville,CA,yccd.edu
Yosemite Community College District,https://yosemite.edu,Modesto,CA,yosemite.edu
Unitek College,https://unitekcollege.edu,Fremont,CA,unitekcollege.edu
Vanguard University,https://vanguard.edu,Costa Mesa,CA,vanguard.edu
Southwestern College,https://swcc.edu,Chula Vista,CA,swcc.edu
Monterey Institute of International Studies,https://miis.edu,Monterey,CA,miis.edu
Adams State University,https://adams.edu,Alamosa,CO,adams.edu
Auraria Higher Education Center,https://ahec.edu,Denver,CO,ahec.edu
Aims Community College,https://aims.edu,Greeley,CO,aims.edu
Arapahoe Community College,https://arapahoe.edu,Littleton,CO,arapahoe.edu
Community College of Aurora,https://ccaurora.edu,(multiple locations),CO,ccaurora.edu
Community College of Denver,https://ccd.edu,Denver,CO,ccd.edu
Colorado Heights University,https://chu.edu,Denver,CO,chu.edu
University of Colorado Boulder,https://colorado.edu,Boulder,CO,colorado.edu
Colorado College,https://coloradocollege.edu,Colorado Springs,CO,coloradocollege.edu
Colorado Mesa University,https://coloradomesa.edu,Grand Junction,CO,coloradomesa.edu
Colorado State University,https://colostate.edu,Fort Collins,CO,colostate.edu
Colorado State University-Pueblo,https://colostate-pueblo.edu,Pueblo,CO,colostate-pueblo.edu
University of Denver,https://du.edu,Denver,CO,du.edu
Fort Lewis College,https://fortlewis.edu,Durango,CO,fortlewis.edu
Front Range Community College,https://frontrange.edu,Westminster,CO,frontrange.edu
Jones International University,https://jiu.edu,Centennial,CO,jiu.edu
Colorado School of Mines,https://mines.edu,Golden,CO,mines.edu
Metropolitan State University of Denver,https://msudenver.edu,Denver,CO,msudenver.edu
Naropa University,https://naropa.edu,Boulder,CO,naropa.edu
Pikes Peak Community College,https://ppcc.edu,Colorado Springs,CO,ppcc.edu
Pueblo Community College,https://pueblocc.edu,(multiple locations),CO,pueblocc.edu
Redstone College,https://redstone.edu,Denver,CO,redstone.edu
Regis University,https://regis.edu,Denver,CO,regis.edu
University of the Rockies,https://rockies.edu,Colorado Springs,CO,rockies.edu
Red Rocks Community College,https://rrcc.edu,Lakewood,CO,rrcc.edu
William Howard Taft University,https://taft.edu,Denver,CO,taft.edu
University Corporation for Atmospheric Research,https://ucar.edu,Boulder,CO,ucar.edu
University of Colorado Colorado Springs,https://uccs.edu,Colorado Springs,CO,uccs.edu
University of Colorado Denver,https://ucdenver.edu,(multiple locations),CO,ucdenver.edu
University of Northern Colorado,https://unco.edu,Greeley,CO,unco.edu
University of Colorado,https://cu.edu,Denver,CO,cu.edu
Western State Colorado University,https://western.edu,Gunnison,CO,western.edu
Albertus Magnus College,https://albertus.edu,New Haven,CT,albertus.edu
Asnuntuck Community College,https://asnuntuck.edu,Enfield,CT,asnuntuck.edu
Connecticut College,https://conncoll.edu,New London,CT,conncoll.edu
Eastern Connecticut State University,https://easternct.edu,Willimantic,CT,easternct.edu
Fairfield University,https://fairfield.edu,Fairfield,CT,fairfield.edu
Goodwin College,https://goodwin.edu,East Hartfod,CT,goodwin.edu
University of Hartford,https://hartford.edu,West Hartford,CT,hartford.edu
Hartford Seminary,https://hartsem.edu,Hartford,CT,hartsem.edu
University of New Haven,https://newhaven.edu,West Haven,CT,newhaven.edu
Queens University of Charlotte,https://quinnipiac.edu,Hamden,CT,quinnipiac.edu
Quinebaug Valley Community College,https://qvcc.edu,Danielson,CT,qvcc.edu
Sacred Heart University,https://sacredheart.edu,Fairfield,CT,sacredheart.edu
Southern Connecticut State University,https://southernct.edu,New Haven,CT,southernct.edu
Three Rivers Community College,https://threerivers.edu,Norwich,CT,threerivers.edu
Trinity College,https://trincoll.edu,Hartford,CT,trincoll.edu
Tunxis Community College,https://tunxis.edu,Farmington,CT,tunxis.edu
University of Connecticut Health Center,https://uchc.edu,Farmington,CT,uchc.edu
University of Connecticut,https://uconn.edu,Storrs,CT,uconn.edu
University of Saint Joseph Connecticut,https://usj.edu,West Hartford,CT,usj.edu
Western Connecticut State University,https://wcsu.edu,Danbury,CT,wcsu.edu
Wesleyan University,https://wesleyan.edu,Middletown,CT,wesleyan.edu
Yale University,https://yale.edu,New Haven,CT,yale.edu
American University,https://american.edu,Washington,DC,american.edu
Carnegie Institution for Science,https://carnegiescience.edu,Washington,DC,carnegiescience.edu
The Catholic University of America,https://cua.edu,Washington,DC,cua.edu
Gallaudet University,https://gallaudet.edu,Washington,DC,gallaudet.edu
Georgetown University,https://georgetown.edu,Washington,DC,georgetown.edu
The George Washington University,https://gwu.edu,Washington,DC,gwu.edu
Howard University,https://howard.edu,Washington,DC,howard.edu
Johns Hopkins School of Advanced International Studies,https://sais-jhu.edu,Washington,DC,sais-jhu.edu
University of California Washington Center,https://ucdc.edu,Washington,DC,ucdc.edu
University of the District of Columbia,https://udc.edu,Washington,DC,udc.edu
Delaware State University,https://desu.edu,Dover,DE,desu.edu
Delaware Technical Community College,https://dtcc.edu,Dover,DE,dtcc.edu
Goldey-Beacom College,https://gbc.edu,Wilmington,DE,gbc.edu
University of Delaware,https://udel.edu,Newark,DE,udel.edu
Wesley College,https://wesley.edu,Dover,DE,wesley.edu
Wilmington University,https://wilmu.edu,New Castle,DE,wilmu.edu
Carlos Albizu University,https://albizu.edu,Miami,FL,albizu.edu
Acupuncture Massage College,https://amcollege.edu,Miami,FL,amcollege.edu
Atlantic Institute of Oriental Medicine,https://atom.edu,Fort Lauderdale,FL,atom.edu
Barry University,https://barry.edu,Miami Shores,FL,barry.edu
Broward College,https://broward.edu,Fort Lauderdale,FL,broward.edu
College of Central Florida,https://cf.edu,Ocala,FL,cf.edu
Chipola College,https://chipola.edu,Marianna,FL,chipola.edu
Bethune-Cookman University,https://cookman.edu,Daytona Beach,FL,cookman.edu
Dade Medical College,https://dadmedical.edu,Miami,FL,dadmedical.edu
Daytona State College,https://daytonastate.edu,Daytona Beach,FL,daytonastate.edu
Eckerd College,https://eckerd.edu,Saint Petersburg,FL,eckerd.edu
Edison State College,https://edison.edu,Fort Myers,FL,edison.edu
Embry-Riddle Aeronautical University,https://erau.edu,Daytona Beach,FL,erau.edu
Everglades University,https://evergladesuniversity.edu,Boca Raton,FL,evergladesuniversity.edu
Florida Atlantic University,https://fau.edu,Boca Raton,FL,fau.edu
Florida Gulf Coast University,https://fgcu.edu,Fort Myers,FL,fgcu.edu
Florida Institute of Technology,https://fit.edu,Melbourne,FL,fit.edu
Florida International University,https://fiu.edu,Miami,FL,fiu.edu
Flagler College,https://flagler.edu,Saint Augustine,FL,flagler.edu
Florida Southern College,https://flsouthern.edu,Lakeland,FL,flsouthern.edu
Florida National University,https://fnu.edu,Hialeah,FL,fnu.edu
